LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	16:27:13.1953577995300292969
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
4.400000E-8	0.001563
4.405000E-8	0.001347
4.410000E-8	0.001213
4.415000E-8	0.001163
4.420000E-8	0.001197
4.425000E-8	0.001322
4.430000E-8	0.001541
4.435000E-8	0.001894
4.440000E-8	0.002209
4.445000E-8	0.002609
4.450000E-8	0.002841
4.455000E-8	0.003172
4.460000E-8	0.003291
4.465000E-8	0.003319
4.470000E-8	0.003178
4.475000E-8	0.003066
4.480000E-8	0.002963
4.485000E-8	0.002413
4.490000E-8	0.002069
4.495000E-8	0.001759
4.500000E-8	0.001578
4.505000E-8	0.001325
4.510000E-8	0.001331
4.515000E-8	0.001309
4.520000E-8	0.001481
4.525000E-8	0.001606
4.530000E-8	0.001894
4.535000E-8	0.002181
4.540000E-8	0.002400
4.545000E-8	0.002763
4.550000E-8	0.002875
4.555000E-8	0.003159
4.560000E-8	0.003159
4.565000E-8	0.003031
4.570000E-8	0.002884
4.575000E-8	0.002644
4.580000E-8	0.002472
4.585000E-8	0.002231
4.590000E-8	0.001953
4.595000E-8	0.001653
4.600000E-8	0.001419
4.605000E-8	0.001238
4.610000E-8	0.001159
4.615000E-8	0.001303
4.620000E-8	0.001341
4.625000E-8	0.001628
4.630000E-8	0.001884
4.635000E-8	0.002331
4.640000E-8	0.002531
4.645000E-8	0.002828
4.650000E-8	0.003050
4.655000E-8	0.003125
4.660000E-8	0.003162
4.665000E-8	0.003066
4.670000E-8	0.002813
4.675000E-8	0.002512
4.680000E-8	0.002162
4.685000E-8	0.001884
4.690000E-8	0.001556
4.695000E-8	0.001341
4.700000E-8	0.001028
4.705000E-8	0.000984
4.710000E-8	0.001006
4.715000E-8	0.001109
4.720000E-8	0.001275
4.725000E-8	0.001481
4.730000E-8	0.001869
4.735000E-8	0.002225
4.740000E-8	0.002481
4.745000E-8	0.002750
4.750000E-8	0.002863
4.755000E-8	0.002969
4.760000E-8	0.002909
4.765000E-8	0.002819
4.770000E-8	0.002550
4.775000E-8	0.002306
4.780000E-8	0.001900
4.785000E-8	0.001650
4.790000E-8	0.001428
4.795000E-8	0.001156
4.800000E-8	0.001031
4.805000E-8	0.001072
4.810000E-8	0.001138
4.815000E-8	0.001244
4.820000E-8	0.001316
4.825000E-8	0.001566
4.830000E-8	0.001891
4.835000E-8	0.002184
4.840000E-8	0.002284
4.845000E-8	0.002338
4.850000E-8	0.002431
4.855000E-8	0.002484
4.860000E-8	0.002428
4.865000E-8	0.002266
4.870000E-8	0.002213
4.875000E-8	0.002059
4.880000E-8	0.001828
4.885000E-8	0.001778
4.890000E-8	0.001544
4.895000E-8	0.001463
4.900000E-8	0.001459
4.905000E-8	0.001484
4.910000E-8	0.001488
4.915000E-8	0.001647
4.920000E-8	0.001781
4.925000E-8	0.002041
4.930000E-8	0.002181
4.935000E-8	0.002534
4.940000E-8	0.002525
4.945000E-8	0.002688
4.950000E-8	0.002741
